"group","session","switch","congruency","m","sd","n","se"
"old","1","repeat","congruent",0.985966831021377,0.0188881780506621,47,0.00275512393077054
"old","1","repeat","incongruent",0.964284081878568,0.070407012053461,47,0.0102699182145702
"old","1","switch","congruent",0.976717923385432,0.0260493660848039,47,0.00379969056248546
"old","1","switch","incongruent",0.930359146524836,0.0975055172061727,47,0.0142226414382762
"old","2","repeat","congruent",0.992554005967765,0.0112334050083444,47,0.00163856052603456
"old","2","repeat","incongruent",0.965385670755193,0.0741215903555463,47,0.0108117451470222
"old","2","switch","congruent",0.988602783641367,0.0159647413565816,47,0.00232869686224386
"old","2","switch","incongruent",0.951513626513181,0.0644586289678551,47,0.00940225736636213
"young","1","repeat","congruent",0.976161383113799,0.0204983274098695,47,0.00298998835336167
"young","1","repeat","incongruent",0.955892469745559,0.0443129764267377,47,0.0064637119297325
"young","1","switch","congruent",0.971576977150767,0.0257682480584166,47,0.00375868528395657
"young","1","switch","incongruent",0.949661138800714,0.0383526209037519,47,0.00559430472204775
"young","2","repeat","congruent",0.979899269584248,0.016009457275815,47,0.00233521934942267
"young","2","repeat","incongruent",0.958531091939883,0.0440444678293474,47,0.00642454592545705
"young","2","switch","congruent",0.981175195832108,0.0192732980928363,47,0.00281129946244796
"young","2","switch","incongruent",0.953789327438162,0.0498743533202718,47,0.00727492212302443
