"Effect","num.Df","den.Df","MSE","F","ges","Pr..F."
"group",1,92,0.00992378103258293,0.243769989133233,0.00149588056483653,0.62267306305306
"session",1,92,0.000434255796957661,25.0312448674481,0.00668657967973085,2.69482447467963e-06
"group:session",1,92,0.000434255796957661,2.87758450262368,0.00077326331037747,0.0932019773218443
"switch",1,92,0.000459278776433779,36.2447862829125,0.0102036933139933,3.5207651700098e-08
"group:switch",1,92,0.000459278776433779,13.9580304351663,0.00395429832874593,0.000324082255887194
"congruency",1,92,0.00538276225516556,27.196198812839,0.0831217580776644,1.12581037998772e-06
"group:congruency",1,92,0.00538276225516556,0.933551690099553,0.00310230011978909,0.33647476228558
"session:switch",1,92,0.000360120241542156,8.72244956326752,0.00194147434554736,0.00398958831658631
"group:session:switch",1,92,0.000360120241542156,2.64306630241113,0.000589100402913523,0.10742349167807
"session:congruency",1,92,0.000361473863802847,0.0630423891251556,1.4112146733537e-05,0.80231031812337
"group:session:congruency",1,92,0.000361473863802847,0.871085768463072,0.000194958776047003,0.353097963333954
"switch:congruency",1,92,0.000251358604806085,20.872440004445,0.00323852958113952,1.52102277939519e-05
"group:switch:congruency",1,92,0.000251358604806085,8.47674020973578,0.00131776995223066,0.0045127428964549
"session:switch:congruency",1,92,0.000378804322239571,0.836236491270466,0.000196132019993679,0.362865860537266
"group:session:switch:congruency",1,92,0.000378804322239571,2.83667748258176,0.000665006101786259,0.0955244883601769
