"Effect","num.Df","den.Df","MSE","F","ges","Pr..F."
"group",1,92,0.289233961271696,28.0863262324302,0.225353625201408,7.90461395324204e-07
"session",1,92,0.00780342102287562,157.056280344648,0.0420438809037839,1.32091798720745e-21
"group:session",1,92,0.00780342102287562,1.4282985299464,0.000398976719360612,0.235114024513027
"switch",1,92,0.00261008956459937,372.584049202377,0.0336534358262024,4.12035773219347e-34
"group:switch",1,92,0.00261008956459937,8.50181210064565,0.000794033390706407,0.00445624243246749
"congruency",1,92,0.00144812440236321,46.527390206334,0.0024070481141688,9.34698515075989e-10
"group:congruency",1,92,0.00144812440236321,0.40109819187812,2.08000499115485e-05,0.528093912044023
"session:switch",1,92,0.00085322978120629,24.2721542543256,0.000741086998714262,3.67583101578619e-06
"group:session:switch",1,92,0.00085322978120629,4.83474132794646,0.000147703889394316,0.0303994895361294
"session:congruency",1,92,0.000562247954663972,9.52496804406407,0.000191745404436122,0.00267806656875716
"group:session:congruency",1,92,0.000562247954663972,0.0171829728598878,3.45973529839521e-07,0.895995207945914
"switch:congruency",1,92,0.00056797519606482,0.0044659464429164,9.08363501364108e-08,0.94686385719853
"group:switch:congruency",1,92,0.00056797519606482,2.88832390031636e-05,5.87478663589385e-10,0.995723575881038
"session:switch:congruency",1,92,0.000446559163541679,3.6676900318154,5.8649321628945e-05,0.0585834729233043
"group:session:switch:congruency",1,92,0.000446559163541679,0.408524472168788,6.53297626517906e-06,0.524307596546969
