"Effect","Chisq","Df","Pr(>Chisq)"
"(Intercept)",548.551679631339,1,2.60051522398843e-121
"group",9.84979270917045,1,0.00169850897401932
"session",40.8653369666764,1,1.63088313626421e-10
"switch",48.7971411230335,1,2.83853266555048e-12
"congruency",118.258908203636,1,1.52170220074492e-27
"cue",0.219802039196322,1,0.639190795970967
"sex",1.6706703453862,2,0.433729082922749
"group:session",6.90788011432117,1,0.0085816676544505
"group:switch",21.9768252370305,1,2.75962600084966e-06
"session:switch",3.64277180126606,1,0.0563131085411422
"group:congruency",6.44448028995768,1,0.0111297596638891
"session:congruency",13.0579596064425,1,0.000301998248044725
"switch:congruency",1.96537996757053,1,0.160939107448767
"group:session:switch",0.176683546522302,1,0.674238977417381
"group:session:congruency",1.85695272480958,1,0.172976911860754
"group:switch:congruency",0.182424421624283,1,0.669297956706266
"session:switch:congruency",0.050920551954619,1,0.821469117374402
"group:session:switch:congruency",1.92190748260721,1,0.165646533061757
