"Effect","Chisq","Df","Pr(>Chisq)"
"(Intercept)",56037.2412501232,1,0
"group",25.4720435753091,1,4.48839834400131e-07
"session",159.378274551319,1,1.54699696571359e-36
"switch",372.89455070018,1,4.3849762134802e-83
"congruency",48.5844897553895,1,3.16361375331443e-12
"cue",77.5644577171332,1,1.28461055666848e-18
"sex",6.2872578667173,2,0.0431260121673564
"group:session",0.911621059223459,1,0.33968466958077
"group:switch",8.64228973448384,1,0.00328448374502673
"session:switch",40.8760859604485,1,1.6219375234436e-10
"group:congruency",0.517752258244687,1,0.47180208271568
"session:congruency",10.798914087118,1,0.00101559651571782
"switch:congruency",0.00975653197317853,1,0.921316792518235
"group:session:switch",7.29244327690622,1,0.00692452406821918
"group:session:congruency",0.00127459986183225,1,0.971520343672031
"group:switch:congruency",0.000917630612528885,1,0.975833843039898
"session:switch:congruency",3.12785326252176,1,0.0769650273694783
"group:session:switch:congruency",0.275930134160436,1,0.599381244074668
