"switch","congruency","session","group","emmean","SE","df","asymp.LCL","asymp.UCL"
"repeat","congruent","1","old",6.7347842580932,0.0349218411675551,Inf,6.66633870713096,6.80322980905544
"switch","congruent","1","old",6.82776684563135,0.0353043088238418,Inf,6.75857167183754,6.89696201942516
"repeat","incongruent","1","old",6.74980763604043,0.0346871684428442,Inf,6.68182203516678,6.81779323691408
"switch","incongruent","1","old",6.83502664381021,0.035077776413449,Inf,6.7662754653821,6.90377782223832
"repeat","congruent","2","old",6.66601263252539,0.0352597797178407,Inf,6.5969047341756,6.73512053087517
"switch","congruent","2","old",6.73931954493936,0.0356372162980263,Inf,6.66947188448597,6.80916720539276
"repeat","incongruent","2","old",6.68441792791402,0.0350286302718271,Inf,6.61576307415347,6.75307278167457
"switch","incongruent","2","old",6.7650381883415,0.0354120707067844,Inf,6.69563180513822,6.83444457154479
"repeat","congruent","1","young",6.54301405580803,0.0350738434611847,Inf,6.47427058582471,6.61175752579135
"switch","congruent","1","young",6.62130413422234,0.035453166033141,Inf,6.55181720565946,6.69079106278521
"repeat","incongruent","1","young",6.56035031174779,0.0348417618935388,Inf,6.49206171327854,6.62863891021705
"switch","incongruent","1","young",6.63413024682117,0.0352250600495816,Inf,6.56509039777073,6.70317009587162
"repeat","congruent","2","young",6.46953889736243,0.0346886685727309,Inf,6.40155035628823,6.53752743843663
"switch","congruent","2","young",6.51385551515795,0.0350721187198082,Inf,6.44511542560561,6.58259560471028
"repeat","incongruent","2","young",6.49347492860955,0.0344530063372077,Inf,6.42594827702949,6.56100158018961
"switch","incongruent","2","young",6.54145315193911,0.0348403377661889,Inf,6.47316734470817,6.60973895917005
